Date : 2025-03-10 07:56:16
Directory : c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app
Total : 78 files,  26787 codes, 867 comments, 1218 blanks, all 28872 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     19,165 |          0 |          3 |     19,168 |
| JavaScript |         40 |      4,823 |        314 |        586 |      5,723 |
| SCSS       |         30 |      2,750 |        553 |        617 |      3,920 |
| HTML       |          1 |         21 |          0 |          1 |         22 |
| CSS        |          1 |         17 |          0 |          3 |         20 |
| Markdown   |          1 |         10 |          0 |          8 |         18 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         78 |     26,787 |        867 |      1,218 |     28,872 |
| . (Files)                                                                                                     |          5 |     19,162 |          0 |         12 |     19,174 |
| public                                                                                                        |          2 |         46 |          0 |          2 |         48 |
| src                                                                                                           |         71 |      7,579 |        867 |      1,204 |      9,650 |
| src (Files)                                                                                                   |          8 |        124 |         30 |         22 |        176 |
| src\components                                                                                                |         61 |      7,148 |        811 |      1,136 |      9,095 |
| src\components\AccountPage                                                                                    |         11 |      1,692 |         61 |        243 |      1,996 |
| src\components\AccountPage (Files)                                                                            |          3 |        841 |         41 |        127 |      1,009 |
| src\components\AccountPage\AchieveComp                                                                        |          2 |        213 |          0 |         28 |        241 |
| src\components\AccountPage\HistoryComp                                                                        |          2 |        242 |          2 |         28 |        272 |
| src\components\AccountPage\ProjectComp                                                                        |          2 |        191 |         14 |         32 |        237 |
| src\components\AccountPage\SkillComp                                                                          |          2 |        205 |          4 |         28 |        237 |
| src\components\AdminPanel                                                                                     |          2 |        299 |          4 |         46 |        349 |
| src\components\ContactDashBoard                                                                               |         13 |        963 |        357 |        168 |      1,488 |
| src\components\ContactDashBoard (Files)                                                                       |          1 |         23 |          9 |          4 |         36 |
| src\components\ContactDashBoard\DashBoardContact                                                              |          2 |        206 |          7 |         31 |        244 |
| src\components\ContactDashBoard\DashBoardFAQ                                                                  |          2 |        157 |         13 |         20 |        190 |
| src\components\ContactDashBoard\DashBoardLayout                                                               |          2 |         45 |          3 |          7 |         55 |
| src\components\ContactDashBoard\DashBoardStatistic                                                            |          2 |          0 |        303 |         44 |        347 |
| src\components\ContactDashBoard\DashboardLicensing                                                            |          2 |        412 |          3 |         46 |        461 |
| src\components\ContactDashBoard\sideBarComp                                                                   |          2 |        120 |         19 |         16 |        155 |
| src\components\Footer                                                                                         |          2 |        162 |         90 |         42 |        294 |
| src\components\Home                                                                                           |          4 |        813 |         78 |        148 |      1,039 |
| src\components\Home (Files)                                                                                   |          2 |        273 |         30 |         50 |        353 |
| src\components\Home\HomeCard                                                                                  |          2 |        540 |         48 |         98 |        686 |
| src\components\Interior                                                                                       |         15 |      2,056 |        105 |        304 |      2,465 |
| src\components\Interior (Files)                                                                               |          3 |        542 |         40 |         79 |        661 |
| src\components\Interior\AddPostBar                                                                            |          2 |        252 |         44 |         49 |        345 |
| src\components\Interior\AppCardTeacher                                                                        |          2 |        349 |          4 |         41 |        394 |
| src\components\Interior\ApplicationCard                                                                       |          2 |        223 |          1 |         34 |        258 |
| src\components\Interior\ApplicationSuccess                                                                    |          2 |         82 |          0 |         13 |         95 |
| src\components\Interior\JobApplication                                                                        |          2 |        209 |          1 |         31 |        241 |
| src\components\Interior\JobPost                                                                               |          2 |        399 |         15 |         57 |        471 |
| src\components\Layout                                                                                         |          2 |         28 |          8 |          7 |         43 |
| src\components\MenuInterior                                                                                   |          2 |        159 |          8 |         27 |        194 |
| src\components\MenubarLanding                                                                                 |          2 |         68 |          6 |         14 |         88 |
| src\components\SignIn                                                                                         |          2 |        209 |         14 |         35 |        258 |
| src\components\SignUp                                                                                         |          2 |        345 |         44 |         51 |        440 |
| src\components\UserPosts                                                                                      |          4 |        354 |         36 |         51 |        441 |
| src\components\UserPosts (Files)                                                                              |          2 |        312 |         36 |         46 |        394 |
| src\components\UserPosts\pendingPost                                                                          |          2 |         42 |          0 |          5 |         47 |
| src\context                                                                                                   |          1 |        123 |         15 |         24 |        162 |
| src\utils                                                                                                     |          1 |        184 |         11 |         22 |        217 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\.prettierrc                                                   | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\README.md                                                     | Markdown   |         10 |          0 |          8 |         18 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package-lock.json                                             | JSON       |     19,060 |          0 |          1 |     19,061 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package.json                                                  | JSON       |         74 |          0 |          1 |         75 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\index.html                                             | HTML       |         21 |          0 |          1 |         22 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\manifest.json                                          | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.js                                                    | JavaScript |         40 |         14 |          5 |         59 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.scss                                                  | SCSS       |         27 |          0 |          6 |         33 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.test.js                                               | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\AchieveComp\index.js               | JavaScript |        187 |          0 |         22 |        209 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\AchieveComp\index.scss             | SCSS       |         26 |          0 |          6 |         32 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\HistoryComp\index.js               | JavaScript |        219 |          1 |         22 |        242 |
