Date : 2025-05-28 12:12:34
Directory : c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app
Total : 83 files,  29504 codes, 841 comments, 1568 blanks, all 31913 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\components\ContactDashBoard\DashboardLicensing                                                            |          2 |        412 |          3 |         46 |        461 |
| src\components\ContactDashBoard\sideBarComp                                                                   |          2 |        120 |         19 |         16 |        155 |
| src\components\Footer                                                                                         |          2 |        162 |         90 |         42 |        294 |
| src\components\Home                                                                                           |          4 |        813 |         78 |        148 |      1,039 |
| src\components\Home (Files)                                                                                   |          2 |        273 |         30 |         50 |        353 |
| src\components\Home\HomeCard                                                                                  |          2 |        540 |         48 |         98 |        686 |
| src\components\Interior                                                                                       |         17 |      3,054 |         77 |        432 |      3,563 |
| src\components\Interior (Files)                                                                               |          3 |        529 |         23 |         72 |        624 |
| src\components\Interior\AddPostBar                                                                            |          2 |        212 |         16 |         40 |        268 |
| src\components\Interior\AppCardTeacher                                                                        |          2 |        349 |          4 |         41 |        394 |
| src\components\Interior\ApplicationCard                                                                       |          2 |        223 |          1 |         34 |        258 |
| src\components\Interior\ApplicationSuccess                                                                    |          2 |         82 |          0 |         13 |         95 |
| src\components\Interior\JobApplication                                                                        |          2 |        209 |          1 |         31 |        241 |
| src\components\Interior\JobPost                                                                               |          2 |        399 |         15 |         57 |        471 |
| src\components\Interior\TeacherView                                                                           |          2 |      1,051 |         17 |        144 |      1,212 |
| src\components\Layout                                                                                         |          2 |         29 |          8 |          6 |         43 |
| src\components\MenuInterior                                                                                   |          2 |        157 |          5 |         27 |        189 |
| src\components\MenubarLanding                                                                                 |          2 |         68 |          6 |         14 |         88 |
| src\components\SignIn                                                                                         |          2 |        209 |         14 |         35 |        258 |
| src\components\SignUp                                                                                         |          2 |        345 |         44 |         51 |        440 |
| src\components\UserPosts                                                                                      |          4 |        388 |         35 |         48 |        471 |
| src\components\UserPosts (Files)                                                                              |          2 |        346 |         35 |         43 |        424 |
| src\components\UserPosts\pendingPost                                                                          |          2 |         42 |          0 |          5 |         47 |
| src\config                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src\context                                                                                                   |          1 |        123 |         15 |         24 |        162 |
| src\utils                                                                                                     |          1 |        184 |         11 |         24 |        219 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\.prettierrc                                                   | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\README.md                                                     | Markdown   |         10 |          0 |          8 |         18 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package-lock.json                                             | JSON       |     19,098 |          0 |          1 |     19,099 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package.json                                                  | JSON       |         81 |          0 |          1 |         82 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\index.html                                             | HTML       |         21 |          0 |          1 |         22 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\manifest.json                                          | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.js                                                    | JavaScript |         44 |         14 |          4 |         62 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.scss                                                  | SCSS       |         30 |          0 |          9 |         39 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.test.js                                               | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\AchieveComp\index.js               | JavaScript |        187 |          0 |         22 |        209 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\AchieveComp\index.scss             | SCSS       |         26 |          0 |          6 |         32 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\HistoryComp\index.js               | JavaScript |        219 |          1 |         22 |        242 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\HistoryComp\index.scss             | SCSS       |         23 |          1 |          6 |         30 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\ProjectComp\index.js               | JavaScript |        167 |         10 |         25 |        202 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\ProjectComp\index.scss             | SCSS       |         24 |          4 |          7 |         35 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\SkillComp\index.js                 | JavaScript |        181 |          4 |         22 |        207 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\SkillComp\index.scss               | SCSS       |         24 |          0 |          6 |         30 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.js                           | JavaScript |        474 |         21 |         62 |        557 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.scss                         | SCSS       |        348 |         20 |         63 |        431 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\openaiBio.js                       | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminDashBoard\index.js                        | JavaScript |        795 |          4 |         60 |        859 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminDashBoard\index.scss                      | SCSS       |        836 |          2 |        161 |        999 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminPanel\index.js                            | JavaScript |        301 |          4 |         44 |        349 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminPanel\index.scss                          | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardContact\index.js     | JavaScript |         85 |          7 |          7 |         99 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardContact\index.scss   | SCSS       |        121 |          0 |         24 |        145 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardFAQ\index.js         | JavaScript |         79 |          6 |          5 |         90 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardFAQ\index.scss       | SCSS       |         78 |          7 |         15 |        100 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.js      | JavaScript |         28 |          0 |          4 |         32 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.scss    | SCSS       |         17 |          3 |          3 |         23 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.js   | JavaScript |          0 |         67 |          6 |         73 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.scss | SCSS       |          0 |        236 |         38 |        274 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashboardLicensing\index.js   | JavaScript |        212 |          0 |          7 |        219 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashboardLicensing\index.scss | SCSS       |        200 |          3 |         39 |        242 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\index.js                      | JavaScript |         23 |          9 |          4 |         36 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.js          | JavaScript |         53 |          9 |          5 |         67 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.scss        | SCSS       |         67 |         10 |         11 |         88 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.js                                | JavaScript |         47 |          0 |          3 |         50 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.scss                              | SCSS       |        115 |         90 |         39 |        244 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.js                         | JavaScript |         95 |          6 |          8 |        109 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.scss                       | SCSS       |        445 |         42 |         90 |        577 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.js                                  | JavaScript |         52 |          6 |          9 |         67 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.scss                                | SCSS       |        221 |         24 |         41 |        286 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.js                   | JavaScript |        156 |          1 |         28 |        185 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.scss                 | SCSS       |         56 |         15 |         12 |         83 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AppCardTeacher\index.js               | JavaScript |        273 |          0 |         25 |        298 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AppCardTeacher\index.scss             | SCSS       |         76 |          4 |         16 |         96 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationCard\index.js              | JavaScript |        147 |          0 |         21 |        168 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationCard\index.scss            | SCSS       |         76 |          1 |         13 |         90 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationSuccess\index.js           | JavaScript |         45 |          0 |          6 |         51 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationSuccess\index.scss         | SCSS       |         37 |          0 |          7 |         44 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobApplication\index.js               | JavaScript |        124 |          1 |         15 |        140 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobApplication\index.scss             | SCSS       |         85 |          0 |         16 |        101 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.js                      | JavaScript |        183 |          1 |         12 |        196 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.scss                    | SCSS       |        216 |         14 |         45 |        275 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\TeacherView\index.js                  | JavaScript |        619 |          9 |         61 |        689 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\TeacherView\index.scss                | SCSS       |        432 |          8 |         83 |        523 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\applyAiFilter.js                      | JavaScript |         21 |          0 |          4 |         25 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.js                              | JavaScript |        372 |         12 |         39 |        423 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.scss                            | SCSS       |        136 |         11 |         29 |        176 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.js                                | JavaScript |         20 |          6 |          4 |         30 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.scss                              | SCSS       |          9 |          2 |          2 |         13 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.js                          | JavaScript |        125 |          2 |         18 |        145 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.scss                        | SCSS       |         32 |          3 |          9 |         44 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.js                        | JavaScript |         45 |          2 |          5 |         52 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.scss                      | SCSS       |         23 |          4 |          9 |         36 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.js                                | JavaScript |        122 |          3 |         15 |        140 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.scss                              | SCSS       |         87 |         11 |         20 |        118 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.js                                | JavaScript |        217 |         28 |         20 |        265 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.scss                              | SCSS       |        128 |         16 |         31 |        175 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.js                             | JavaScript |        298 |          4 |         30 |        332 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.scss                           | SCSS       |         48 |         31 |         13 |         92 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\pendingPost\index.js                 | JavaScript |         37 |          0 |          5 |         42 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\pendingPost\index.scss               | SCSS       |          5 |          0 |          0 |          5 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\config\config.js                                          | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\context\AuthContext.js                                    | JavaScript |        123 |         15 |         24 |        162 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.css                                                 | CSS        |         17 |          0 |          3 |         20 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.js                                                  | JavaScript |         18 |         12 |          4 |         34 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\logo.svg                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\reportWebVitals.js                                        | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\setupTests.js                                             | JavaScript |          1 |          4 |          1 |          6 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\utils\auth.js                                             | JavaScript |        184 |         11 |         24 |        219 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\webpack.config.js                                             | JavaScript |         12 |          0 |          2 |         14 |
| Total                                                                                                         |            |     29,504 |        841 |      1,568 |     31,913 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
